season,season_name,n_cast,location,country,mean_ack_score,series_score,season_score_diff
1,Survivor: Borneo,16,"Pulau Tiga, Sabah, Malaysia",Malaysia,1.79,1.77,0.020000000000000018
2,Survivor: The Australian Outback,16,"Herbert River at Goshen Station, Queensland, Australia",Australia,2.31,1.77,0.54
3,Survivor: Africa,16,"Shaba National Reserve, Kenya",Kenya,1.79,1.77,0.020000000000000018
4,Survivor: Marquesas,16,"Nuku Hiva, Marquesas Islands, French Polynesia",Polynesia,2.29,1.77,0.52
5,Survivor: Thailand,16,"Ko Tarutao, Satun Province, Thailand",Thailand,2.71,1.77,0.94
6,Survivor: The Amazon,16,"Rio Negro, Amazonas, Brazil",Brazil,1.36,1.77,-0.4099999999999999
7,Survivor: Pearl Islands,16,"Pearl Islands, Panama",Panama,0.62,1.77,-1.15
8,Survivor: All-Stars,18,"Pearl Islands, Panama",Panama,1.64,1.77,-0.13000000000000012
9,Survivor: Vanuatu,18,"Efate, Shefa, Vanuatu",Vanuatu,1.38,1.77,-0.3900000000000001
10,Survivor: Palau,20,"Koror, Palau",Palau,0.87,1.77,-0.9
11,Survivor: Guatemala,18,"Laguna Yaxha, Yaxha-Nakum-Naranjo National Park, Peten, Guatemala",Guatemala,1.38,1.77,-0.3900000000000001
12,Survivor: Panama,16,"Pearl Islands, Panama",Panama,2.54,1.77,0.77
13,Survivor: Cook Islands,20,"Aitutaki, Cook Islands",Islands,1.88,1.77,0.10999999999999988
14,Survivor: Fiji,19,"Macuata, Vanua Levu, Fiji",Fiji,1.8,1.77,0.030000000000000027
15,Survivor: China,16,"Zhelin, Jiujiang, Jiangxi, China",China,0.54,1.77,-1.23
16,Survivor: Micronesia,20,"Koror, Palau",Palau,2.93,1.77,1.1600000000000001
17,Survivor: Gabon,18,"Wonga-Wongue Presidential Reserve, Estuaire, Gabon",Gabon,1.2,1.77,-0.5700000000000001
18,Survivor: Tocantins,16,"Jalapao, Tocantins, Brazil",Brazil,1.38,1.77,-0.3900000000000001
19,Survivor: Samoa,20,"Upolu, Samoa",Samoa,1.07,1.77,-0.7
20,Survivor: Heroes vs. Villains,20,"Upolu, Samoa",Samoa,1.82,1.77,0.050000000000000044
21,Survivor: Nicaragua,20,"San Juan del Sur, Rivas, Nicaragua",Nicaragua,1.33,1.77,-0.43999999999999995
22,Survivor: Redemption Island,18,"San Juan del Sur, Rivas, Nicaragua",Nicaragua,0.65,1.77,-1.12
23,Survivor: South Pacific,18,"San Juan del Sur, Rivas, Nicaragua",Nicaragua,0.82,1.77,-0.9500000000000001
24,Survivor: One World,18,"San Juan del Sur, Rivas, Nicaragua",Nicaragua,0.85,1.77,-0.92
25,Survivor: Philippines,18,"Caramoan, Camarines Sur, Philippines",Philippines,0.93,1.77,-0.84
26,Survivor: Caramoan,20,"Caramoan, Camarines Sur, Philippines",Philippines,2.13,1.77,0.3599999999999999
27,Survivor: Blood vs. Water,20,"Palaui Island, Santa Ana, Cagayan, Philippines",Philippines,1.61,1.77,-0.15999999999999992
28,Survivor: Cagayan,18,"Palaui Island, Santa Ana, Cagayan, Philippines",Philippines,1.73,1.77,-0.040000000000000036
29,Survivor: San Juan del Sur,18,"San Juan del Sur, Rivas, Nicaragua",Nicaragua,1.0,1.77,-0.77
30,Survivor: Worlds Apart,18,"San Juan del Sur, Rivas, Nicaragua",Nicaragua,1.8,1.77,0.030000000000000027
31,Survivor: Cambodia,20,"Koh Rong, Cambodia",Cambodia,1.38,1.77,-0.3900000000000001
32,Survivor: Kaoh Rong,18,"Koh Rong, Cambodia",Cambodia,1.58,1.77,-0.18999999999999995
33,Survivor: Millennials vs. Gen X,20,"Mamanuca Islands, Fiji",Fiji,1.82,1.77,0.050000000000000044
34,Survivor: Game Changers,20,"Mamanuca Islands, Fiji",Fiji,2.06,1.77,0.29000000000000004
35,Survivor: Heroes vs. Healers vs. Hustlers,18,"Mamanuca Islands, Fiji",Fiji,2.47,1.77,0.7000000000000002
36,Survivor: Ghost Island,20,"Mamanuca Islands, Fiji",Fiji,2.0,1.77,0.22999999999999998
37,Survivor: David vs. Goliath,20,"Mamanuca Islands, Fiji",Fiji,2.53,1.77,0.7599999999999998
38,Survivor: Edge of Extinction,18,"Mamanuca Islands, Fiji",Fiji,2.88,1.77,1.1099999999999999
39,Survivor: Island of the Idols,20,"Mamanuca Islands, Fiji",Fiji,2.69,1.77,0.9199999999999999
40,Survivor: Winners at War,20,"Mamanuca Islands, Fiji",Fiji,1.58,1.77,-0.18999999999999995
41,Survivor: 41,18,"Mamanuca Islands, Fiji",Fiji,2.53,1.77,0.7599999999999998
42,Survivor: 42,18,"Mamanuca Islands, Fiji",Fiji,2.71,1.77,0.94
43,Survivor: 43,18,"Mamanuca Islands, Fiji",Fiji,2.27,1.77,0.5
44,Survivor: 44,18,"Mamanuca Islands, Fiji",Fiji,2.69,1.77,0.9199999999999999
45,Survivor: 45,18,"Mamanuca Islands, Fiji",Fiji,2.47,1.77,0.7000000000000002
46,Survivor: 46,18,"Mamanuca Islands, Fiji",Fiji,1.93,1.77,0.15999999999999992
